1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.234,0.429,0.585,0.675,0.747,0.833,0.85,0.91,0.927,0.942,0.956,0.961,0.981,0.989,0.985
0.257,0.453,0.565,0.701,0.753,0.823,0.857,0.882,0.926,0.944,0.95,0.958,0.981,0.978,0.993
0.251,0.393,0.564,0.685,0.742,0.813,0.859,0.879,0.923,0.935,0.943,0.959,0.973,0.985,0.98
0.248,0.421,0.569,0.659,0.792,0.831,0.87,0.905,0.92,0.948,0.946,0.961,0.977,0.986,0.983
0.246,0.45,0.574,0.701,0.753,0.827,0.883,0.9,0.926,0.942,0.951,0.966,0.968,0.982,0.985
0.241,0.412,0.584,0.686,0.78,0.814,0.861,0.897,0.91,0.951,0.965,0.966,0.969,0.984,0.983
0.252,0.447,0.58,0.683,0.773,0.81,0.859,0.925,0.934,0.953,0.956,0.966,0.978,0.98,0.985
0.248,0.451,0.581,0.688,0.77,0.825,0.863,0.919,0.917,0.941,0.963,0.97,0.982,0.985,0.987
0.25,0.422,0.574,0.693,0.736,0.796,0.845,0.905,0.931,0.937,0.956,0.967,0.965,0.983,0.985
0.268,0.435,0.584,0.682,0.727,0.812,0.882,0.894,0.929,0.939,0.962,0.974,0.983,0.985,0.989
0.253,0.414,0.59,0.707,0.764,0.819,0.86,0.894,0.931,0.944,0.95,0.972,0.983,0.983,0.99
0.223,0.431,0.582,0.697,0.78,0.823,0.861,0.894,0.92,0.938,0.957,0.965,0.973,0.982,0.99
0.248,0.431,0.603,0.684,0.761,0.806,0.86,0.887,0.921,0.952,0.96,0.977,0.982,0.987,0.987
0.264,0.441,0.569,0.693,0.802,0.822,0.848,0.912,0.928,0.943,0.964,0.969,0.976,0.979,0.988
0.239,0.426,0.576,0.69,0.768,0.821,0.856,0.905,0.939,0.95,0.954,0.968,0.982,0.982,0.987
0.259,0.404,0.578,0.688,0.753,0.824,0.874,0.901,0.915,0.945,0.969,0.97,0.977,0.977,0.984
0.277,0.451,0.554,0.665,0.775,0.814,0.863,0.903,0.924,0.947,0.951,0.979,0.982,0.987,0.988
0.248,0.417,0.571,0.692,0.749,0.829,0.839,0.891,0.936,0.938,0.963,0.968,0.98,0.979,0.989
0.254,0.432,0.565,0.692,0.765,0.817,0.872,0.903,0.912,0.954,0.958,0.969,0.978,0.986,0.991
0.226,0.449,0.595,0.666,0.75,0.818,0.852,0.896,0.908,0.939,0.96,0.973,0.976,0.982,0.983
0.251,0.447,0.576,0.67,0.806,0.811,0.866,0.91,0.93,0.942,0.959,0.965,0.971,0.987,0.987
0.244,0.47,0.586,0.716,0.76,0.805,0.862,0.878,0.916,0.924,0.957,0.96,0.985,0.984,0.99
0.265,0.435,0.563,0.678,0.739,0.828,0.854,0.904,0.922,0.958,0.961,0.966,0.977,0.984,0.987
0.238,0.412,0.576,0.688,0.758,0.808,0.852,0.897,0.931,0.941,0.944,0.966,0.983,0.985,0.977
0.241,0.427,0.574,0.695,0.772,0.816,0.849,0.898,0.93,0.94,0.959,0.966,0.974,0.977,0.988
0.228,0.43,0.588,0.68,0.752,0.819,0.861,0.888,0.925,0.941,0.963,0.955,0.974,0.977,0.987
0.268,0.434,0.58,0.686,0.738,0.824,0.889,0.887,0.926,0.945,0.958,0.971,0.973,0.989,0.984
0.242,0.445,0.573,0.677,0.749,0.824,0.886,0.894,0.926,0.946,0.949,0.965,0.976,0.985,0.984
0.251,0.454,0.592,0.681,0.736,0.818,0.86,0.884,0.93,0.947,0.963,0.964,0.974,0.989,0.988
0.24,0.436,0.597,0.682,0.746,0.836,0.862,0.88,0.913,0.949,0.95,0.966,0.976,0.985,0.984
0.245,0.454,0.576,0.692,0.778,0.813,0.867,0.898,0.934,0.938,0.952,0.97,0.97,0.977,0.98
0.244,0.405,0.567,0.698,0.771,0.819,0.874,0.904,0.931,0.945,0.949,0.972,0.97,0.983,0.985
0.258,0.421,0.601,0.663,0.755,0.799,0.855,0.903,0.927,0.952,0.966,0.964,0.973,0.986,0.991
0.266,0.436,0.571,0.687,0.765,0.843,0.863,0.896,0.932,0.933,0.961,0.96,0.965,0.977,0.983
0.267,0.459,0.584,0.702,0.779,0.825,0.86,0.904,0.937,0.945,0.965,0.966,0.984,0.988,0.992
0.271,0.433,0.585,0.69,0.765,0.821,0.874,0.912,0.928,0.949,0.962,0.971,0.972,0.981,0.987
0.264,0.443,0.572,0.689,0.774,0.809,0.874,0.887,0.937,0.949,0.971,0.966,0.979,0.98,0.987
0.259,0.466,0.6,0.687,0.772,0.836,0.864,0.899,0.943,0.965,0.963,0.96,0.981,0.983,0.994
0.274,0.436,0.582,0.704,0.78,0.843,0.862,0.901,0.918,0.945,0.961,0.965,0.984,0.988,0.986
0.227,0.441,0.569,0.696,0.763,0.82,0.851,0.907,0.924,0.95,0.955,0.964,0.971,0.991,0.985
0.218,0.438,0.592,0.679,0.775,0.829,0.877,0.907,0.926,0.935,0.962,0.97,0.97,0.982,0.987
0.273,0.436,0.564,0.684,0.785,0.812,0.879,0.888,0.924,0.951,0.952,0.97,0.977,0.988,0.987
0.263,0.423,0.574,0.685,0.752,0.826,0.87,0.909,0.936,0.927,0.954,0.964,0.974,0.988,0.988
0.233,0.449,0.601,0.707,0.765,0.844,0.865,0.87,0.918,0.936,0.952,0.967,0.981,0.984,0.988
0.244,0.427,0.578,0.709,0.757,0.825,0.881,0.897,0.932,0.938,0.961,0.971,0.971,0.983,0.987
0.261,0.445,0.597,0.688,0.772,0.809,0.878,0.912,0.932,0.946,0.956,0.968,0.961,0.986,0.986
0.249,0.446,0.581,0.692,0.765,0.843,0.882,0.902,0.926,0.944,0.963,0.975,0.975,0.981,0.983
0.231,0.448,0.563,0.668,0.773,0.818,0.868,0.895,0.927,0.95,0.96,0.97,0.978,0.988,0.982
0.257,0.424,0.558,0.651,0.765,0.829,0.877,0.908,0.914,0.937,0.945,0.967,0.972,0.986,0.986
